Name,QB WC,RB WC,WR WC,TE WC,QB DR,RB DR,WR DR,TE DR,QB CF,RB CF,WR CF,TE CF,Player 1,Player 2,Player 3
LeTomster,Herbert,Barkley,Nacua,Kraft,Goff,Gibbs,McLaurin,Ertz,Mahomes,Eagles,Commanders,Goedert,,,
luckenbuesser,Daniels,Mixon,Jefferson,Kraft,Allen,Gibbs,Williams,Goedert,Hurts,Bills,Bills,Kelce,Smith,Pacheco,Butker
Lunatic,Nix,Barkley,Nacua,Kincaid,,,,,,,,,,,
Marcello,Daniels,Williams,Nacua,Kincaid,Allen,Gibbs,Williams,Goedert,Mahomes,Commanders,Commanders,Kelce,,,
marvhin23,Daniels,Williams,Jefferson,Kraft,Allen,Gibbs,Smith,Ertz,,,,,Barkley,Brown,Hunt
Matze Luki,Jackson,Irving,Nacua,Kincaid,Goff,Henry,Collins,Ertz,Daniels,Eagles,Bills,Goedert,Brown,Hunt,Butker
MCO,Herbert,Barkley,Sutton,Freiermuth,Mahomes,Henry,Williams,Goedert,,,,,,,
Merlyn112,Daniels,Barkley,Sutton,Kincaid,Goff,Gibbs,Collins,Goedert,Daniels,Commanders,Eagles,Kincaid,Worthy,Hurts,Goedert
Mirarot,Jackson,Irving,Nacua,Kincaid,Allen,Gibbs,Williams,Ertz,Allen,Commanders,Commanders,Kincaid,,,
mogli_dk,Daniels,Barkley,McMillan,Kraft,Goff,Henry,Williams,Kelce,Hurts,Commanders,Eagles,Kincaid,Smith,Mahomes,Schuster
Neyinoo,Daniels,Irving,Jefferson,Kincaid,Allen,Gibbs,Smith,Ertz,Mahomes,Eagles,Chiefs,Ertz,Brown,Hunt,Butker
Pascal,Herbert,Barkley,Nacua,Kraft,,,,,,,,,,,
pate1703,Daniels,Barkley,Sutton,Kincaid,Allen,Gibbs,Williams,Goedert,Daniels,Bills,Commanders,Kincaid,Hurts,Goedert,Schuster
PatKau1904,Herbert,Barkley,Nacua,Kraft,Goff,Henry,Collins,Ertz,Daniels,Bills,Commanders,Kincaid,,,
philadeagles,Nix,Barkley,McMillan,Freiermuth,Goff,Gibbs,Williams,LaPorta,Daniels,Chiefs,Eagles,Goedert,Brown,Goedert,Butker
Ptough(Pete),Herbert,Barkley,Nacua,Kraft,Goff,Henry,Williams,Kelce,Mahomes,Eagles,Commanders,Kincaid,,,
SchlagiUSR,Herbert,Barkley,Nacua,Kraft,Goff,Gibbs,McLaurin,Ertz,Mahomes,Eagles,Commanders,Kincaid,,,
Stoni,Jackson,Irving,Nacua,Kincaid,Allen,Gibbs,Williams,Goedert,Daniels,Eagles,Chiefs,Kincaid,Worthy,Hurts,Butker
Tsubasa,Herbert,Barkley,Nacua,Kraft,Mahomes,Gibbs,Williams,Kelce,Hurts,Bills,Commanders,Goedert,Worthy,Brown,Butker
wiglgrimpft,Nix,Irving,Sutton,Andrews,Allen,Gibbs,Smith,Ertz,Allen,Bills,Bills,Kincaid,Pacheco,Hunt,Butker
xhailmurray,Daniels,Barkley,McMillan,Kraft,Goff,Gibbs,McLaurin,Ertz,Daniels,Commanders,Commanders,Goedert,,,
ys_db_21,Daniels,Williams,Nacua,Kincaid,Goff,Gibbs,Collins,Ertz,Hurts,Bills,Commanders,Goedert,Smith,Kelce,Butker
